Factor Name,Category,Score
Primary GBP Category,Local Pack/Maps,227
Proximity of Address to the Point of Search (Searcher-Business Distance),Local Pack/Maps,225
Keywords in GBP Business Title,Local Pack/Maps,223
Physical Address in City of Search,Local Pack/Maps,213
Business is Open at Time of Search (Business Hours),Local Pack/Maps,189
High Numerical Google Ratings (e.g. 4-5),Local Pack/Maps,181
Address Is Showing on GBP (Not SAB),Local Pack/Maps,176
Additional GBP Categories,Local Pack/Maps,173
Quantity of Native Google Reviews (w/text),Local Pack/Maps,170
Proper Placement of the Map Pin,Local Pack/Maps,165
Recency of Reviews,Local Pack/Maps,164
Proximity of Address to Centroid,Local Pack/Maps,157
Click-Through Rate from Local Pack/Maps Search Results,Local Pack/Maps,156
Sustained Influx of Reviews Over Time (rather than bursts),Local Pack/Maps,154
HTML NAP Matching GBP NAP,Local Pack/Maps,153
Completeness of GBP,Local Pack/Maps,147
Keywords in GBP Landing Page Title Tag,Local Pack/Maps,146
Geographic (City/Neighborhood) Keyword Relevance of Content,Local Pack/Maps,142
Removal of spam listings through spam fighting,Local Pack/Maps,137
"Keywords in GBP Landing Page Headings (H1, H2, etc)",Local Pack/Maps,135
Proper Hours Set on GBP,Local Pack/Maps,134
Presence of GBP Predefined Services,Local Pack/Maps,134
Volume of Searches for Business Name,Local Pack/Maps,133
Dedicated Page for Each Service,Local Pack/Maps,132
Quality/Authority of Inbound Links to GBP Landing Page URL,Local Pack/Maps,127
Quantity of Inbound Links to GBP Landing Page URL from Locally-Relevant Domains,Local Pack/Maps,126
Quantity of Inbound Links to Domain from Locally-Relevant Domains,Local Pack/Maps,125
"Consistency of Citations on Primary Search Engines (Google Maps, Bing Maps, Apple Maps)",Local Pack/Maps,124
Verified GBP,Local Pack/Maps,123
Keywords in GBP Custom Service Titles,Local Pack/Maps,122
Quality/Authority of Inbound Links to Domain,Local Pack/Maps,122
Quantity of Inbound Links to Landing Page URL from Industry-Relevant Domains,Local Pack/Maps,122
"Quantity of Engagement Signals on GBP (scrolling through listing, clicking on sections, reacting to reviews, etc)",Local Pack/Maps,120
Keywords in GBP Services,Local Pack/Maps,118
Website's Degree of Focus on a Specific Niche,Local Pack/Maps,118
Keywords in Native Google Reviews,Local Pack/Maps,117
Topical (Product/Service) Keyword Relevance Across Entire Website,Local Pack/Maps,117
Quantity of Native Google Ratings (no text),Local Pack/Maps,116
Quantity of Inbound Links to Domain from Industry-Relevant Domains,Local Pack/Maps,114
In-store visits tracked by Android or Google Maps Mobile app location detection,Local Pack/Maps,113
Quantity of Requests for Driving Directions From GBP,Local Pack/Maps,113
Positive Sentiment in Review Text,Local Pack/Maps,112
Quantity of Reviews with Photos,Local Pack/Maps,111
Internal Links TO GBP Landing Page from Other Pages of Website,Local Pack/Maps,110
"Photo & Video Quality (resolution, clarity, not stock, etc)",Local Pack/Maps,108
Keywords in Anchor Text of Inbound Links to GBP Landing Page URL,Local Pack/Maps,108
Internal Linking Across Entire Website,Local Pack/Maps,107
Presence of GBP Custom Services,Local Pack/Maps,106
Quality/Authority of Structured Citations,Local Pack/Maps,105
Reference to Location Specific Entities on GBP Landing Page,Local Pack/Maps,104
Keywords in Anchor Text of Internal Links,Local Pack/Maps,103
Quantity of Inbound Links to GBP Landing Page URL,Local Pack/Maps,103
Keywords in Title Tags Across Entire Website,Local Pack/Maps,102
Website Uses HTTPS by default,Local Pack/Maps,102
Domain Authority of Website,Local Pack/Maps,102
Quantity of Inbound Links to Domain,Local Pack/Maps,102
Quantity of Clicks to Call Business From GBP,Local Pack/Maps,102
Age of GBP (Original Creation Date),Local Pack/Maps,101
"High Numerical Ratings by Authority Reviewers (e.g. Yelp Elite, Google Local Guides, etc)",Local Pack/Maps,101
Mobile-friendly/Responsive Website,Local Pack/Maps,101
Diversity of Inbound Links to Domain,Local Pack/Maps,101
Diversity of Inbound Links to GBP Landing Page URL,Local Pack/Maps,101
"Consistency of Citations on Key Sites (Yellowpages, Yelp, D&B, CityGrid)",Local Pack/Maps,101
"Quality/Authority of Unstructured Citations (Newspaper Articles, Blog Posts, Gov Sites, Industry Associations)",Local Pack/Maps,101
Keywords in Anchor Text of Inbound Links to Domain,Local Pack/Maps,100
Prominence on Key Industry-Relevant Domains,Local Pack/Maps,100
Proper Category Associations on Aggregators and Tier 1 Citation Sources,Local Pack/Maps,100
Page Authority of GBP Landing Page URL,Local Pack/Maps,99
Quantity of Citations from Locally-Relevant Domains,Local Pack/Maps,99
Presence of Products Added to GBP via Merchant Center,Local Pack/Maps,98
Keywords in Domain Name,Local Pack/Maps,97
Volume of Quality Content on Service Pages,Local Pack/Maps,97
Authority of Third-Party Sites on Which Reviews are Present,Local Pack/Maps,96
Photos Match Target Keywords,Local Pack/Maps,95
Quantity of Citations from Industry-Relevant Domains,Local Pack/Maps,95
Quanitity of User-Uploaded Photos,Local Pack/Maps,94
GBP Popular Times Section Shows Business as Busy,Local Pack/Maps,93
Relevancy of Photos to Categories,Local Pack/Maps,93
Diversity of Anchor Text to GBP Landing Page URL,Local Pack/Maps,93
Sustained Influx of Links Over Time (rather than bursts),Local Pack/Maps,93
User Added Attributes in GBP,Local Pack/Maps,92
Freshness of Content on GBP Landing Page,Local Pack/Maps,92
